Name           :	.2mgmlPOPG_O1	
User           :	Isaac	
Date           :	7/29/2014	

Probe1         :	Wilhelmy	
Perimeter      : 	39.240	

Probe2         :	Wilhelmy	
Perimeter      : 	39.240	

Trough         :	Extra Small	
Width          :	50.0	
Area           :	7035.0	
Symmetric comp :	True	

Subphase       :	Water	
Surface tension:	72.80	
pH             :	7.00	
Temperature    :	19.5	

Addition       :		
Concentration  :		
Unit           :	Unknown         	

Substance1     :	POPG	
MW             :	771.0	
Concentration  :	0.200	
Unit           :	mg/ml           	
Volume         :	0.00	

Substance2     :		
MW             : 		
Concentration  : 		
Unit           :	Unknown         	
Volume         : 		

Substrate      :		
Height         : 		
Shape          : 	Rectangle       	
Width          :		
Thickness      :		


t[s]	Bpos	Bspd	A[cm²]	Mma[Å²]	P1[mN/m]	P2[mN/m]	T[°C]	SP[V]	pH	AD[V]
259.33	31.727	2.091	38.62		11.220	11.275	61.23		-1.22	0.000
259.60	31.736	1.418	38.61		11.223	11.279	41.21		-1.22	0.000
259.87	31.738	0.745	38.61		11.223	11.283	17.18		-1.22	0.000
260.14	31.740	0.060	38.61		11.222	11.287	-37.54		-1.22	0.000
260.41	31.740	-0.613	38.61		11.199	11.287	-44.28		-1.22	0.000
260.68	31.740	-1.298	38.61		11.197	11.286	-22.57		-1.22	0.000
260.95	31.740	-1.995	38.61		11.195	11.285	-12.01		-1.22	0.000
261.22	31.738	-2.668	38.61		11.193	11.284	-25.31		-1.22	0.000
261.50	31.719	-3.341	38.63		11.191	11.281	-42.42		-1.22	0.000
261.77	31.700	-4.002	38.65		11.188	11.276	-70.91		-1.22	0.000
262.05	31.687	-4.663	38.66		11.187	11.275	-74.59		-1.22	0.000
262.33	31.662	-5.325	38.69		11.182	11.270	-37.02		-1.22	0.000
262.60	31.632	-5.962	38.72		11.168	11.265	-4.02		-1.22	0.000
262.87	31.601	-6.587	38.75		11.170	11.258	71.34		-1.22	0.000
263.15	31.578	-7.188	38.77		11.165	11.250	93.49		-1.22	0.000
263.44	31.541	-7.764	38.81		11.160	11.243	71.19		-1.22	0.000
263.71	31.500	-8.341	38.85		11.157	11.235	35.33		-1.22	0.000
263.99	31.456	-8.894	38.89		11.152	11.232	-54.69		-1.22	0.000
264.27	31.410	-9.399	38.94		11.135	11.228	-96.19		-1.22	0.000
264.55	31.380	-9.892	38.97		11.113	11.220	-167.13		-1.22	0.000
264.83	31.327	-10.373	39.02		11.088	11.204	-190.93		-1.22	0.000
265.11	31.276	-10.817	39.07		11.063	11.185	-222.59		-1.22	0.000
265.39	31.221	-11.226	39.13		11.035	11.164	-234.96		-1.22	0.000
265.68	31.182	-11.611	39.17		11.009	11.141	-234.29		-1.22	0.000
265.95	31.123	-11.959	39.23		10.982	11.112	-220.15		-1.22	0.000
266.24	31.063	-12.272	39.29		10.953	11.088	-198.60		-1.22	0.000
266.52	31.001	-12.548	39.35		10.926	11.061	-138.72		-1.22	0.000
266.80	30.937	-12.800	39.41		10.895	11.047	-95.57		-1.22	0.000
